top - 15:46:12 up  1:56,  1 user,  load average: 0,17, 0,22, 0,23
Tasks: 327 total,   1 running, 320 sleeping,   6 stopped,   0 zombie
%Cpu(s): 12,5 us,  4,4 sy,  0,0 ni, 83,1 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   7856,4 total,   4216,8 free,   1462,1 used,   2177,5 buff/cache
MiB Swap:   1335,2 total,   1335,2 free,      0,0 used.   5948,0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  32774 root      20   0  431080  50348  11756 S  93,8   0,6   0:00.15 gst-launch-1.0
  27036 root      20   0       0      0      0 I   0,0   0,0   0:02.51 kworker/u16:2-eve+
  29022 christi+  20   0    3340   2028   1904 S   0,0   0,0   0:00.03 nc
  29074 root      20   0       0      0      0 I   0,0   0,0   0:00.91 kworker/4:2-events
  29079 root      20   0       0      0      0 I   0,0   0,0   0:01.45 kworker/0:1-events
  30033 root      20   0       0      0      0 I   0,0   0,0   0:01.13 kworker/6:0-events
  30647 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/7:0-events
  31488 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/3:2-events
  31641 root      20   0       0      0      0 I   0,0   0,0   0:00.41 kworker/u16:3-eve+
  31980 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/0:2
  31984 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/5:2
  31998 root      20   0   19960   3704   2984 S   0,0   0,0   0:00.00 cron
  32003 munin     20   0    2616    604    536 S   0,0   0,0   0:00.00 sh
  32005 munin     20   0    2616    604    540 S   0,0   0,0   0:00.00 munin-cron
  32007 munin     20   0   89664  31876  10940 S   0,0   0,4   0:00.30 munin-update
  32009 munin     20   0   88940  25448   5320 S   0,0   0,3   0:00.00 /usr/share/muni
  32746 root      20   0   18264   3868   3392 S   0,0   0,0   0:00.00 transmitir_vide
  32753 root      20   0  476060  44740  32916 S   0,0   0,6   0:00.36 gnome-terminal-
  32760 root      20   0   18132   3520   3284 S   0,0   0,0   0:00.00 trafico.sh
  32761 tcpdump   20   0   10908   6572   5652 S   0,0   0,1   0:00.01 tcpdump
  32762 tcpdump   20   0   10908   6636   5716 S   0,0   0,1   0:00.00 tcpdump
  32768 root      20   0   18132   3400   3152 S   0,0   0,0   0:00.00 cpu_usage.sh
  32769 root      20   0   18132   3412   3172 S   0,0   0,0   0:00.00 test_vp9.sh
