top - 09:55:29 up 29 min,  1 user,  load average: 0,63, 0,55, 0,55
Tasks: 322 total,   1 running, 321 sleeping,   0 stopped,   0 zombie
%Cpu(s):  8,0 us,  1,5 sy,  0,0 ni, 90,5 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   7856,4 total,   3602,6 free,   1568,0 used,   2685,8 buff/cache
MiB Swap:   1335,2 total,   1335,2 free,      0,0 used.   5817,0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  16080 root      20   0  408680  18664  10892 S  43,8   0,2   0:00.07 gst-lau+
   2020 root      20   0   12124   2780   1956 S   0,0   0,0   0:00.00 ovs-tes+
   2031 lxc-dns+  20   0   23420    360      0 S   0,0   0,0   0:00.00 dnsmasq
   2069 asterisk  20   0 4380948  76336  39616 S   0,0   0,9   0:18.46 asterisk
   2139 root      20   0   33296  15380   4592 S   0,0   0,2   0:00.16 munin-n+
   2655 geoclue   20   0  853436  20100  14196 S   0,0   0,2   0:00.53 geoclue
   2831 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
   2954 root      20   0  176016  10344   8540 S   0,0   0,1   0:00.03 gdm-ses+
   2963 christi+  20   0   19260  10676   8232 S   0,0   0,1   0:00.66 systemd
   2964 christi+  20   0  170024   4368     12 S   0,0   0,1   0:00.00 (sd-pam)
   2969 christi+   9 -11 2016032  20516  15572 S   0,0   0,3   0:00.32 pulseau+
   2971 christi+  39  19  520544  25496  16660 S   0,0   0,3   0:00.28 tracker+
   2974 christi+  20   0    8300   5640   4028 S   0,0   0,1   0:00.82 dbus-da+
   2977 christi+  20   0  322560   8032   6932 S   0,0   0,1   0:00.14 gnome-k+
   2995 christi+  20   0  248356   7936   6988 S   0,0   0,1   0:00.03 gvfsd
   3000 christi+  20   0  378352   6476   5816 S   0,0   0,1   0:00.00 gvfsd-f+
   3008 christi+  20   0  396456   9760   7996 S   0,0   0,1   0:00.52 gvfs-ud+
   3017 christi+  20   0  244516   6320   5800 S   0,0   0,1   0:00.01 gvfs-go+
   3021 christi+  20   0  559532  59284  36536 S   0,0   0,7   0:00.76 goa-dae+
   3028 christi+  20   0  323396   9172   8088 S   0,0   0,1   0:00.08 goa-ide+
   3034 christi+  20   0  246752   7384   6548 S   0,0   0,1   0:00.01 gvfs-gp+
   3039 christi+  20   0  325368   9180   8184 S   0,0   0,1   0:00.08 gvfs-af+
   3044 christi+  20   0  244344   5864   5244 S   0,0   0,1   0:00.01 gvfs-mt+
   3059 christi+  20   0  172660   6744   6108 S   0,0   0,1   0:00.00 gdm-x-s+
   3078 christi+  20   0  196888  13940  12464 S   0,0   0,2   0:00.05 gnome-s+
   3145 christi+  20   0    6040    456      0 S   0,0   0,0   0:00.00 ssh-age+
   3166 christi+  20   0  305440   6804   6216 S   0,0   0,1   0:00.00 at-spi-+
   3171 christi+  20   0    7392   4460   4008 S   0,0   0,1   0:00.16 dbus-da+
   3183 christi+  20   0   98704   4252   3832 S   0,0   0,1   0:00.00 gnome-s+
   3190 christi+  20   0  492768  15700  13096 S   0,0   0,2   0:00.14 gnome-s+
   3232 christi+  20   0  393288   8500   7036 S   0,0   0,1   0:00.60 ibus-da+
   3236 christi+  20   0  171344   7352   6716 S   0,0   0,1   0:00.00 ibus-me+
   3237 christi+  20   0  284248  31752  18296 S   0,0   0,4   0:01.57 ibus-ex+
   3239 christi+  20   0  206496  28480  18712 S   0,0   0,4   0:00.38 ibus-x11
   3241 christi+  20   0  318876   7376   6692 S   0,0   0,1   0:00.58 ibus-po+
   3254 christi+  20   0  162884   7588   6816 S   0,0   0,1   0:00.38 at-spi2+
   3258 christi+  20   0  244240   4556   4116 S   0,0   0,1   0:00.01 xdg-per+
   3260 christi+  20   0  580972  19712  17116 S   0,0   0,2   0:00.07 gnome-s+
   3269 christi+  20   0  472896  25612  21836 S   0,0   0,3   0:00.12 evoluti+
   3277 christi+  20   0  156372   6152   5336 S   0,0   0,1   0:00.01 dconf-s+
   3282 christi+  20   0 1256948  31032  26616 S   0,0   0,4   0:00.15 evoluti+
   3293 christi+  20   0  755572  30012  26468 S   0,0   0,4   0:00.10 evoluti+
   3308 christi+  20   0 2938928  27228  21772 S   0,0   0,3   0:00.08 gjs
   3320 christi+  20   0  327688  13560   7088 S   0,0   0,2   0:00.60 gvfsd-t+
   3332 christi+  20   0  318316   6772   6160 S   0,0   0,1   0:00.01 gsd-a11+
   3333 christi+  20   0  587012  30416  20320 S   0,0   0,4   0:00.46 gsd-col+
   3334 christi+  20   0  382272  16364  14416 S   0,0   0,2   0:00.02 gsd-dat+
   3337 christi+  20   0  320900   8236   7012 S   0,0   0,1   0:00.17 gsd-hou+
   3340 christi+  20   0  354544  29300  19108 S   0,0   0,4   0:00.37 gsd-key+
   3342 christi+  20   0 1106372  31644  21008 S   0,0   0,4   0:00.48 gsd-med+
   3344 christi+  20   0  769216  30816  20296 S   0,0   0,4   0:00.44 gsd-pow+
   3345 christi+  20   0  256892  11564  10128 S   0,0   0,1   0:00.02 gsd-pri+
   3346 christi+  20   0  465740   6096   5476 S   0,0   0,1   0:00.03 gsd-rfk+
   3347 christi+  20   0  244148   6168   5660 S   0,0   0,1   0:00.01 gsd-scr+
   3348 christi+  20   0  473568  11332   9412 S   0,0   0,1   0:00.33 gsd-sha+
   3349 christi+  20   0  323816   8424   7596 S   0,0   0,1   0:00.01 gsd-sma+
   3350 christi+  20   0  328008   9480   8460 S   0,0   0,1   0:00.01 gsd-sou+
   3351 christi+  20   0  393616   7320   6632 S   0,0   0,1   0:00.01 gsd-usb+
   3354 christi+  20   0  353992  28396  18384 S   0,0   0,4   0:00.43 gsd-wac+
   3358 christi+  20   0  396400   8404   7492 S   0,0   0,1   0:00.01 gsd-wwan
   3360 christi+  20   0  355340  29976  19472 S   0,0   0,4   0:00.44 gsd-xse+
   3405 christi+  20   0  231808   5964   4600 S   0,0   0,1   0:00.02 gsd-dis+
   3428 christi+  20   0  647964  61260  45712 S   0,0   0,8   0:00.49 evoluti+
   3439 christi+  20   0  171336   7288   6660 S   0,0   0,1   0:00.12 ibus-en+
   3468 christi+  20   0  843628  96660  49448 S   0,0   1,2   0:04.94 snap-st+
   3489 christi+  20   0  466164   6628   6024 S   0,0   0,1   0:00.04 xdg-doc+
   3515 christi+  20   0  350836  15396  13512 S   0,0   0,2   0:00.01 gsd-pri+
   3604 christi+  20   0  618716  10860   9556 S   0,0   0,1   0:00.21 xdg-des+
   3608 christi+  20   0  502484  29044  19416 S   0,0   0,4   0:00.39 xdg-des+
   3619 root      20   0  444180  80392  25380 S   0,0   1,0   0:01.01 fwupd
   3741 christi+  20   0  831400  59456  41600 S   0,0   0,7   0:28.86 gnome-t+
   3749 christi+  20   0   19900   6000   3980 S   0,0   0,1   0:00.29 bash
   3942 christi+  20   0  170900   6524   5916 S   0,0   0,1   0:00.11 gvfsd-m+
   3945 christi+  20   0  429164  31716  22228 S   0,0   0,4   0:00.28 update-+
   4461 christi+  20   0    6040   3864   3484 S   0,0   0,0   0:00.00 ssh-age+
   5163 root      20   0       0      0      0 I   0,0   0,0   0:01.72 kworker+
   5215 root      20   0       0      0      0 I   0,0   0,0   0:01.25 kworker+
   5289 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
   5290 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
   5291 root      20   0       0      0      0 S   0,0   0,0   0:00.56 usb-sto+
   5297 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 uas
   5374 root      20   0   18560   3052   1936 S   0,0   0,0   0:03.51 mount.n+
   5448 christi+  20   0 1072560  72344  47532 S   0,0   0,9   0:03.47 nautilus
   5467 root      20   0       0      0      0 I   0,0   0,0   0:02.55 kworker+
   5477 christi+  20   0   19916   5940   3920 S   0,0   0,1   0:00.04 bash
   5505 root      20   0   20780   5008   4284 S   0,0   0,1   0:00.01 sudo
   5512 root      20   0 1035080 102860  48392 S   0,0   1,3   0:04.82 python3
   5518 root      20   0    7040   2280   1900 S   0,0   0,0   0:00.00 dbus-la+
   5519 root      20   0    7360   3280   2700 S   0,0   0,0   0:00.18 dbus-da+
   5537 root      20   0       0      0      0 I   0,0   0,0   0:00.40 kworker+
   5538 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
   5586 christi+  20   0   19896   5760   3748 S   0,0   0,1   0:00.16 bash
   6441 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
   6542 christi+  20   0  987916 284448 124692 S   0,0   3,5   0:07.60 telegra+
   6722 christi+  20   0    3340   2036   1912 S   0,0   0,0   0:00.02 nc
   6804 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
   6967 ntp       20   0   74668   4348   3764 S   0,0   0,1   0:00.12 ntpd
   7602 root      20   0  248356   7744   6924 S   0,0   0,1   0:00.02 gvfsd
   7607 root      20   0  378352   5644   5100 S   0,0   0,1   0:00.00 gvfsd-f+
   7617 root      20   0  474064  11280  10104 S   0,0   0,1   0:00.12 xdg-des+
   7622 root      20   0  466164   6788   6172 S   0,0   0,1   0:00.04 xdg-doc+
   7626 root      20   0  244240   4816   4376 S   0,0   0,1   0:00.00 xdg-per+
   7635 root      20   0  502340  28660  19296 S   0,0   0,4   0:00.16 xdg-des+
   7643 root      20   0  156108   5372   4852 S   0,0   0,1   0:00.00 dconf-s+
   7649 root      20   0  248676   8540   7696 S   0,0   0,1   0:00.04 gnome-k+
   7687 root      20   0       0      0      0 I   0,0   0,0   0:01.02 kworker+
   7702 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  10392 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  10467 root      20   0       0      0      0 I   0,0   0,0   0:00.51 kworker+
  12194 root      20   0  367536  30668  15344 S   0,0   0,4   0:05.64 package+
  12912 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  14866 root      20   0       0      0      0 I   0,0   0,0   0:00.15 kworker+
  15360 root      20   0   19964   3764   3044 S   0,0   0,0   0:00.00 cron
  15365 munin     20   0    2616    608    540 S   0,0   0,0   0:00.00 sh
  15367 munin     20   0    2616    608    540 S   0,0   0,0   0:00.00 munin-c+
  15368 munin     20   0   89652  31912  10972 S   0,0   0,4   0:00.27 munin-u+
  15372 munin     20   0   88940  25200   5080 S   0,0   0,3   0:00.00 /usr/sh+
  16051 root      20   0   18264   3792   3316 S   0,0   0,0   0:00.00 transmi+
  16066 root      20   0   18132   3468   3232 S   0,0   0,0   0:00.00 trafico+
  16067 tcpdump   20   0   10908   6656   5740 S   0,0   0,1   0:00.00 tcpdump
  16068 tcpdump   20   0   10908   6576   5660 S   0,0   0,1   0:00.00 tcpdump
  16074 root      20   0   18132   3372   3128 S   0,0   0,0   0:00.00 cpu_usa+
  16075 root      20   0   18132   3480   3240 S   0,0   0,0   0:00.00 test_vp+

top - 09:55:32 up 29 min,  1 user,  load average: 0,63, 0,55, 0,55
Tasks: 322 total,   1 running, 321 sleeping,   0 stopped,   0 zombie
%Cpu(s):  4,9 us,  0,9 sy,  0,0 ni, 94,3 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   7856,4 total,   3599,6 free,   1568,6 used,   2688,2 buff/cache
MiB Swap:   1335,2 total,   1335,2 free,      0,0 used.   5814,4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  16080 root      20   0  408680  18928  10892 S  17,5   0,2   0:00.60 gst-lau+
   3061 christi+  20   0  769276  60448  29924 S  10,6   0,8   0:51.02 Xorg
   3204 christi+  20   0 4608204 235788  83296 S   9,3   2,9   0:54.52 gnome-s+
   3741 christi+  20   0  831576  59456  41600 S   7,0   0,7   0:29.07 gnome-t+
   2069 asterisk  20   0 4380948  76336  39616 S   1,0   0,9   0:18.49 asterisk
