n:1 mse_avg:1.62 mse_y:2.00 mse_u:0.92 mse_v:0.77 psnr_avg:46.05 psnr_y:45.12 psnr_u:48.49 psnr_v:49.26 
n:15 mse_avg:2.58 mse_y:3.30 mse_u:1.31 mse_v:0.98 psnr_avg:44.01 psnr_y:42.95 psnr_u:46.97 psnr_v:48.23 
n:16 mse_avg:2.57 mse_y:3.20 mse_u:1.51 mse_v:1.12 psnr_avg:44.03 psnr_y:43.08 psnr_u:46.34 psnr_v:47.63 
n:17 mse_avg:2.31 mse_y:2.94 mse_u:1.19 mse_v:0.92 psnr_avg:44.49 psnr_y:43.45 psnr_u:47.38 psnr_v:48.48 
n:18 mse_avg:2.51 mse_y:3.13 mse_u:1.51 mse_v:1.07 psnr_avg:44.13 psnr_y:43.18 psnr_u:46.35 psnr_v:47.85 
n:19 mse_avg:2.46 mse_y:3.13 mse_u:1.28 mse_v:0.95 psnr_avg:44.23 psnr_y:43.18 psnr_u:47.07 psnr_v:48.37 
n:20 mse_avg:2.49 mse_y:3.10 mse_u:1.48 mse_v:1.07 psnr_avg:44.17 psnr_y:43.22 psnr_u:46.44 psnr_v:47.82 
n:21 mse_avg:2.21 mse_y:2.82 mse_u:1.11 mse_v:0.88 psnr_avg:44.68 psnr_y:43.63 psnr_u:47.67 psnr_v:48.66 
n:22 mse_avg:2.47 mse_y:3.07 mse_u:1.42 mse_v:1.08 psnr_avg:44.21 psnr_y:43.26 psnr_u:46.61 psnr_v:47.78 
n:23 mse_avg:2.52 mse_y:3.22 mse_u:1.30 mse_v:0.92 psnr_avg:44.12 psnr_y:43.05 psnr_u:46.98 psnr_v:48.52 
n:24 mse_avg:2.62 mse_y:3.30 mse_u:1.47 mse_v:1.07 psnr_avg:43.94 psnr_y:42.95 psnr_u:46.47 psnr_v:47.83 
n:25 mse_avg:2.41 mse_y:3.10 mse_u:1.16 mse_v:0.89 psnr_avg:44.31 psnr_y:43.22 psnr_u:47.47 psnr_v:48.61 
n:26 mse_avg:2.99 mse_y:3.84 mse_u:1.43 mse_v:1.11 psnr_avg:43.38 psnr_y:42.28 psnr_u:46.59 psnr_v:47.67 
n:27 mse_avg:2.86 mse_y:3.72 mse_u:1.27 mse_v:0.99 psnr_avg:43.57 psnr_y:42.43 psnr_u:47.09 psnr_v:48.15 
n:28 mse_avg:2.98 mse_y:3.81 mse_u:1.53 mse_v:1.13 psnr_avg:43.39 psnr_y:42.33 psnr_u:46.29 psnr_v:47.59 
n:29 mse_avg:2.39 mse_y:3.05 mse_u:1.18 mse_v:0.92 psnr_avg:44.36 psnr_y:43.28 psnr_u:47.40 psnr_v:48.50 
n:30 mse_avg:3.41 mse_y:4.50 mse_u:1.40 mse_v:1.06 psnr_avg:42.80 psnr_y:41.59 psnr_u:46.68 psnr_v:47.87 
n:31 mse_avg:1.04 mse_y:1.26 mse_u:0.63 mse_v:0.55 psnr_avg:47.97 psnr_y:47.12 psnr_u:50.11 psnr_v:50.75 
n:32 mse_avg:2.61 mse_y:3.30 mse_u:1.44 mse_v:1.06 psnr_avg:43.96 psnr_y:42.95 psnr_u:46.56 psnr_v:47.88 
n:33 mse_avg:2.76 mse_y:3.61 mse_u:1.25 mse_v:0.89 psnr_avg:43.72 psnr_y:42.55 psnr_u:47.17 psnr_v:48.65 
n:34 mse_avg:2.80 mse_y:3.55 mse_u:1.48 mse_v:1.08 psnr_avg:43.67 psnr_y:42.62 psnr_u:46.43 psnr_v:47.80 
n:35 mse_avg:2.53 mse_y:3.29 mse_u:1.17 mse_v:0.87 psnr_avg:44.10 psnr_y:42.96 psnr_u:47.46 psnr_v:48.74 
n:36 mse_avg:2.77 mse_y:3.49 mse_u:1.59 mse_v:1.09 psnr_avg:43.71 psnr_y:42.71 psnr_u:46.12 psnr_v:47.77 
n:37 mse_avg:2.70 mse_y:3.52 mse_u:1.22 mse_v:0.93 psnr_avg:43.81 psnr_y:42.67 psnr_u:47.27 psnr_v:48.43 
n:38 mse_avg:2.77 mse_y:3.50 mse_u:1.47 mse_v:1.15 psnr_avg:43.71 psnr_y:42.69 psnr_u:46.47 psnr_v:47.54 
n:39 mse_avg:2.53 mse_y:3.30 mse_u:1.14 mse_v:0.86 psnr_avg:44.10 psnr_y:42.95 psnr_u:47.56 psnr_v:48.76 
n:40 mse_avg:2.67 mse_y:3.38 mse_u:1.42 mse_v:1.11 psnr_avg:43.86 psnr_y:42.84 psnr_u:46.61 psnr_v:47.69 
n:41 mse_avg:2.65 mse_y:3.43 mse_u:1.27 mse_v:0.94 psnr_avg:43.89 psnr_y:42.78 psnr_u:47.10 psnr_v:48.39 
n:42 mse_avg:2.77 mse_y:3.53 mse_u:1.44 mse_v:1.08 psnr_avg:43.70 psnr_y:42.65 psnr_u:46.55 psnr_v:47.78 
n:43 mse_avg:2.49 mse_y:3.23 mse_u:1.10 mse_v:0.89 psnr_avg:44.17 psnr_y:43.03 psnr_u:47.70 psnr_v:48.62 
n:44 mse_avg:2.76 mse_y:3.52 mse_u:1.44 mse_v:1.03 psnr_avg:43.72 psnr_y:42.66 psnr_u:46.55 psnr_v:48.01 
n:45 mse_avg:2.74 mse_y:3.56 mse_u:1.23 mse_v:0.97 psnr_avg:43.75 psnr_y:42.62 psnr_u:47.22 psnr_v:48.27 
n:46 mse_avg:2.91 mse_y:3.71 mse_u:1.47 mse_v:1.16 psnr_avg:43.48 psnr_y:42.43 psnr_u:46.45 psnr_v:47.49 
n:47 mse_avg:2.63 mse_y:3.43 mse_u:1.15 mse_v:0.93 psnr_avg:43.93 psnr_y:42.78 psnr_u:47.51 psnr_v:48.44 
n:48 mse_avg:3.06 mse_y:3.91 mse_u:1.45 mse_v:1.26 psnr_avg:43.27 psnr_y:42.21 psnr_u:46.50 psnr_v:47.14 
n:49 mse_avg:2.96 mse_y:3.88 mse_u:1.25 mse_v:1.04 psnr_avg:43.41 psnr_y:42.25 psnr_u:47.17 psnr_v:47.96 
n:50 mse_avg:3.18 mse_y:4.09 mse_u:1.51 mse_v:1.19 psnr_avg:43.11 psnr_y:42.01 psnr_u:46.35 psnr_v:47.39 
n:51 mse_avg:2.71 mse_y:3.53 mse_u:1.13 mse_v:0.97 psnr_avg:43.81 psnr_y:42.65 psnr_u:47.58 psnr_v:48.26 
n:52 mse_avg:3.22 mse_y:4.16 mse_u:1.44 mse_v:1.26 psnr_avg:43.05 psnr_y:41.94 psnr_u:46.54 psnr_v:47.14 
n:53 mse_avg:3.13 mse_y:4.12 mse_u:1.26 mse_v:1.06 psnr_avg:43.17 psnr_y:41.99 psnr_u:47.13 psnr_v:47.87 
n:54 mse_avg:3.22 mse_y:4.15 mse_u:1.49 mse_v:1.23 psnr_avg:43.05 psnr_y:41.95 psnr_u:46.39 psnr_v:47.22 
n:55 mse_avg:2.85 mse_y:3.73 mse_u:1.21 mse_v:1.00 psnr_avg:43.58 psnr_y:42.42 psnr_u:47.30 psnr_v:48.15 
n:56 mse_avg:3.22 mse_y:4.13 mse_u:1.56 mse_v:1.25 psnr_avg:43.05 psnr_y:41.97 psnr_u:46.20 psnr_v:47.16 
n:57 mse_avg:3.23 mse_y:4.23 mse_u:1.31 mse_v:1.15 psnr_avg:43.04 psnr_y:41.87 psnr_u:46.97 psnr_v:47.54 
n:58 mse_avg:3.35 mse_y:4.33 mse_u:1.50 mse_v:1.27 psnr_avg:42.88 psnr_y:41.77 psnr_u:46.36 psnr_v:47.10 
n:59 mse_avg:3.06 mse_y:4.00 mse_u:1.30 mse_v:1.07 psnr_avg:43.27 psnr_y:42.11 psnr_u:47.00 psnr_v:47.84 
n:60 mse_avg:3.14 mse_y:4.10 mse_u:1.34 mse_v:1.11 psnr_avg:43.16 psnr_y:42.00 psnr_u:46.87 psnr_v:47.68 
n:61 mse_avg:1.28 mse_y:1.58 mse_u:0.68 mse_v:0.64 psnr_avg:47.07 psnr_y:46.14 psnr_u:49.79 psnr_v:50.05 
n:62 mse_avg:2.47 mse_y:3.07 mse_u:1.40 mse_v:1.11 psnr_avg:44.21 psnr_y:43.25 psnr_u:46.67 psnr_v:47.68 
n:63 mse_avg:2.52 mse_y:3.25 mse_u:1.16 mse_v:0.96 psnr_avg:44.11 psnr_y:43.01 psnr_u:47.47 psnr_v:48.31 
n:64 mse_avg:2.77 mse_y:3.51 mse_u:1.47 mse_v:1.11 psnr_avg:43.70 psnr_y:42.67 psnr_u:46.47 psnr_v:47.69 
n:65 mse_avg:2.35 mse_y:3.03 mse_u:1.09 mse_v:0.92 psnr_avg:44.41 psnr_y:43.32 psnr_u:47.74 psnr_v:48.51 
n:66 mse_avg:2.92 mse_y:3.73 mse_u:1.51 mse_v:1.11 psnr_avg:43.47 psnr_y:42.42 psnr_u:46.33 psnr_v:47.68 
n:67 mse_avg:2.79 mse_y:3.62 mse_u:1.25 mse_v:1.03 psnr_avg:43.67 psnr_y:42.55 psnr_u:47.17 psnr_v:48.00 
n:68 mse_avg:2.93 mse_y:3.72 mse_u:1.51 mse_v:1.20 psnr_avg:43.46 psnr_y:42.43 psnr_u:46.35 psnr_v:47.35 
n:69 mse_avg:2.47 mse_y:3.17 mse_u:1.12 mse_v:0.98 psnr_avg:44.21 psnr_y:43.11 psnr_u:47.65 psnr_v:48.23 
n:70 mse_avg:2.92 mse_y:3.70 mse_u:1.53 mse_v:1.20 psnr_avg:43.47 psnr_y:42.45 psnr_u:46.30 psnr_v:47.34 
n:71 mse_avg:2.78 mse_y:3.60 mse_u:1.22 mse_v:1.04 psnr_avg:43.70 psnr_y:42.57 psnr_u:47.27 psnr_v:47.94 
n:72 mse_avg:2.90 mse_y:3.67 mse_u:1.51 mse_v:1.23 psnr_avg:43.50 psnr_y:42.48 psnr_u:46.34 psnr_v:47.24 
n:73 mse_avg:2.52 mse_y:3.25 mse_u:1.16 mse_v:0.97 psnr_avg:44.12 psnr_y:43.02 psnr_u:47.50 psnr_v:48.26 
n:74 mse_avg:2.85 mse_y:3.61 mse_u:1.46 mse_v:1.18 psnr_avg:43.59 psnr_y:42.55 psnr_u:46.49 psnr_v:47.43 
n:75 mse_avg:2.83 mse_y:3.66 mse_u:1.26 mse_v:1.08 psnr_avg:43.61 psnr_y:42.49 psnr_u:47.13 psnr_v:47.79 
n:76 mse_avg:2.93 mse_y:3.74 mse_u:1.44 mse_v:1.17 psnr_avg:43.47 psnr_y:42.41 psnr_u:46.54 psnr_v:47.46 
n:77 mse_avg:2.48 mse_y:3.18 mse_u:1.12 mse_v:1.01 psnr_avg:44.19 psnr_y:43.10 psnr_u:47.65 psnr_v:48.09 
n:78 mse_avg:3.01 mse_y:3.84 mse_u:1.45 mse_v:1.24 psnr_avg:43.34 psnr_y:42.28 psnr_u:46.51 psnr_v:47.20 
n:79 mse_avg:2.88 mse_y:3.73 mse_u:1.28 mse_v:1.08 psnr_avg:43.53 psnr_y:42.41 psnr_u:47.07 psnr_v:47.79 
n:80 mse_avg:3.08 mse_y:3.93 mse_u:1.45 mse_v:1.28 psnr_avg:43.25 psnr_y:42.19 psnr_u:46.51 psnr_v:47.06 
n:81 mse_avg:2.65 mse_y:3.42 mse_u:1.19 mse_v:1.06 psnr_avg:43.89 psnr_y:42.80 psnr_u:47.37 psnr_v:47.88 
n:82 mse_avg:3.13 mse_y:3.99 mse_u:1.53 mse_v:1.29 psnr_avg:43.18 psnr_y:42.12 psnr_u:46.29 psnr_v:47.02 
n:83 mse_avg:3.02 mse_y:3.92 mse_u:1.33 mse_v:1.14 psnr_avg:43.33 psnr_y:42.20 psnr_u:46.89 psnr_v:47.57 
n:84 mse_avg:3.11 mse_y:3.93 mse_u:1.60 mse_v:1.31 psnr_avg:43.20 psnr_y:42.18 psnr_u:46.08 psnr_v:46.95 
n:85 mse_avg:2.68 mse_y:3.45 mse_u:1.25 mse_v:1.07 psnr_avg:43.84 psnr_y:42.76 psnr_u:47.16 psnr_v:47.84 
n:86 mse_avg:3.05 mse_y:3.84 mse_u:1.63 mse_v:1.28 psnr_avg:43.29 psnr_y:42.28 psnr_u:46.02 psnr_v:47.05 
n:87 mse_avg:3.03 mse_y:3.92 mse_u:1.35 mse_v:1.15 psnr_avg:43.31 psnr_y:42.20 psnr_u:46.82 psnr_v:47.51 
n:88 mse_avg:3.10 mse_y:3.94 mse_u:1.60 mse_v:1.26 psnr_avg:43.21 psnr_y:42.18 psnr_u:46.08 psnr_v:47.12 
n:89 mse_avg:2.61 mse_y:3.35 mse_u:1.20 mse_v:1.09 psnr_avg:43.96 psnr_y:42.88 psnr_u:47.33 psnr_v:47.75 
n:90 mse_avg:3.08 mse_y:3.97 mse_u:1.38 mse_v:1.21 psnr_avg:43.25 psnr_y:42.15 psnr_u:46.73 psnr_v:47.31 
n:91 mse_avg:1.24 mse_y:1.53 mse_u:0.72 mse_v:0.65 psnr_avg:47.18 psnr_y:46.30 psnr_u:49.57 psnr_v:50.03 
n:92 mse_avg:2.68 mse_y:3.40 mse_u:1.43 mse_v:1.07 psnr_avg:43.85 psnr_y:42.82 psnr_u:46.59 psnr_v:47.82 
n:93 mse_avg:2.66 mse_y:3.45 mse_u:1.21 mse_v:0.93 psnr_avg:43.89 psnr_y:42.75 psnr_u:47.31 psnr_v:48.43 
n:94 mse_avg:2.88 mse_y:3.70 mse_u:1.46 mse_v:1.06 psnr_avg:43.53 psnr_y:42.45 psnr_u:46.49 psnr_v:47.87 
n:95 mse_avg:2.45 mse_y:3.17 mse_u:1.13 mse_v:0.89 psnr_avg:44.24 psnr_y:43.12 psnr_u:47.58 psnr_v:48.63 
n:96 mse_avg:3.02 mse_y:3.89 mse_u:1.43 mse_v:1.13 psnr_avg:43.33 psnr_y:42.23 psnr_u:46.59 psnr_v:47.58 
n:97 mse_avg:2.94 mse_y:3.85 mse_u:1.24 mse_v:0.99 psnr_avg:43.45 psnr_y:42.27 psnr_u:47.20 psnr_v:48.19 
n:98 mse_avg:3.08 mse_y:3.96 mse_u:1.49 mse_v:1.16 psnr_avg:43.25 psnr_y:42.16 psnr_u:46.41 psnr_v:47.49 
n:99 mse_avg:2.62 mse_y:3.41 mse_u:1.19 mse_v:0.93 psnr_avg:43.94 psnr_y:42.81 psnr_u:47.38 psnr_v:48.44 
n:100 mse_avg:3.09 mse_y:3.98 mse_u:1.45 mse_v:1.16 psnr_avg:43.24 psnr_y:42.14 psnr_u:46.50 psnr_v:47.47 
n:101 mse_avg:2.99 mse_y:3.91 mse_u:1.32 mse_v:1.00 psnr_avg:43.37 psnr_y:42.21 psnr_u:46.92 psnr_v:48.14 
n:102 mse_avg:3.11 mse_y:4.00 mse_u:1.51 mse_v:1.15 psnr_avg:43.21 psnr_y:42.11 psnr_u:46.35 psnr_v:47.52 
n:103 mse_avg:2.61 mse_y:3.39 mse_u:1.19 mse_v:0.94 psnr_avg:43.96 psnr_y:42.83 psnr_u:47.38 psnr_v:48.41 
n:104 mse_avg:3.15 mse_y:4.06 mse_u:1.51 mse_v:1.15 psnr_avg:43.14 psnr_y:42.04 psnr_u:46.34 psnr_v:47.51 
n:105 mse_avg:3.02 mse_y:3.94 mse_u:1.33 mse_v:1.02 psnr_avg:43.34 psnr_y:42.18 psnr_u:46.89 psnr_v:48.06 
n:106 mse_avg:3.11 mse_y:4.00 mse_u:1.50 mse_v:1.19 psnr_avg:43.20 psnr_y:42.11 psnr_u:46.36 psnr_v:47.37 
n:107 mse_avg:2.62 mse_y:3.40 mse_u:1.15 mse_v:0.94 psnr_avg:43.95 psnr_y:42.81 psnr_u:47.51 psnr_v:48.40 
n:108 mse_avg:3.08 mse_y:3.96 mse_u:1.47 mse_v:1.16 psnr_avg:43.25 psnr_y:42.15 psnr_u:46.45 psnr_v:47.50 
n:109 mse_avg:3.02 mse_y:3.94 mse_u:1.30 mse_v:1.03 psnr_avg:43.33 psnr_y:42.17 psnr_u:46.98 psnr_v:47.98 
n:110 mse_avg:3.15 mse_y:4.02 mse_u:1.53 mse_v:1.27 psnr_avg:43.15 psnr_y:42.09 psnr_u:46.28 psnr_v:47.09 
n:111 mse_avg:2.72 mse_y:3.52 mse_u:1.23 mse_v:1.01 psnr_avg:43.78 psnr_y:42.66 psnr_u:47.22 psnr_v:48.11 
n:112 mse_avg:3.15 mse_y:4.04 mse_u:1.55 mse_v:1.20 psnr_avg:43.14 psnr_y:42.06 psnr_u:46.24 psnr_v:47.33 
n:113 mse_avg:2.97 mse_y:3.85 mse_u:1.35 mse_v:1.08 psnr_avg:43.40 psnr_y:42.27 psnr_u:46.82 psnr_v:47.80 
n:114 mse_avg:3.08 mse_y:3.92 mse_u:1.54 mse_v:1.27 psnr_avg:43.24 psnr_y:42.19 psnr_u:46.25 psnr_v:47.11 
n:115 mse_avg:2.60 mse_y:3.36 mse_u:1.20 mse_v:0.96 psnr_avg:43.98 psnr_y:42.86 psnr_u:47.35 psnr_v:48.32 
n:116 mse_avg:3.05 mse_y:3.89 mse_u:1.57 mse_v:1.21 psnr_avg:43.28 psnr_y:42.24 psnr_u:46.17 psnr_v:47.31 
n:117 mse_avg:2.99 mse_y:3.87 mse_u:1.37 mse_v:1.10 psnr_avg:43.37 psnr_y:42.25 psnr_u:46.76 psnr_v:47.73 
n:118 mse_avg:3.16 mse_y:4.03 mse_u:1.63 mse_v:1.22 psnr_avg:43.13 psnr_y:42.08 psnr_u:46.01 psnr_v:47.28 
n:119 mse_avg:2.65 mse_y:3.43 mse_u:1.22 mse_v:0.99 psnr_avg:43.89 psnr_y:42.78 psnr_u:47.27 psnr_v:48.19 
n:120 mse_avg:3.18 mse_y:4.12 mse_u:1.43 mse_v:1.14 psnr_avg:43.11 psnr_y:41.98 psnr_u:46.58 psnr_v:47.55 
n:121 mse_avg:1.35 mse_y:1.66 mse_u:0.76 mse_v:0.67 psnr_avg:46.84 psnr_y:45.92 psnr_u:49.33 psnr_v:49.90 
n:122 mse_avg:2.68 mse_y:3.35 mse_u:1.55 mse_v:1.14 psnr_avg:43.85 psnr_y:42.89 psnr_u:46.23 psnr_v:47.57 
n:123 mse_avg:2.74 mse_y:3.55 mse_u:1.28 mse_v:0.92 psnr_avg:43.76 psnr_y:42.62 psnr_u:47.07 psnr_v:48.48 
n:124 mse_avg:3.00 mse_y:3.80 mse_u:1.64 mse_v:1.15 psnr_avg:43.36 psnr_y:42.33 psnr_u:45.98 psnr_v:47.54 
n:125 mse_avg:2.65 mse_y:3.44 mse_u:1.18 mse_v:0.96 psnr_avg:43.90 psnr_y:42.76 psnr_u:47.42 psnr_v:48.33 
n:126 mse_avg:3.16 mse_y:4.08 mse_u:1.52 mse_v:1.15 psnr_avg:43.13 psnr_y:42.03 psnr_u:46.30 psnr_v:47.54 
n:127 mse_avg:3.13 mse_y:4.14 mse_u:1.25 mse_v:0.96 psnr_avg:43.18 psnr_y:41.97 psnr_u:47.15 psnr_v:48.29 
n:128 mse_avg:3.21 mse_y:4.15 mse_u:1.51 mse_v:1.17 psnr_avg:43.06 psnr_y:41.95 psnr_u:46.34 psnr_v:47.46 
n:129 mse_avg:2.78 mse_y:3.63 mse_u:1.21 mse_v:0.93 psnr_avg:43.70 psnr_y:42.53 psnr_u:47.29 psnr_v:48.45 
n:130 mse_avg:3.50 mse_y:4.58 mse_u:1.52 mse_v:1.18 psnr_avg:42.69 psnr_y:41.52 psnr_u:46.30 psnr_v:47.42 
n:131 mse_avg:3.47 mse_y:4.64 mse_u:1.32 mse_v:0.98 psnr_avg:42.72 psnr_y:41.47 psnr_u:46.93 psnr_v:48.21 
n:132 mse_avg:3.48 mse_y:4.55 mse_u:1.48 mse_v:1.22 psnr_avg:42.71 psnr_y:41.55 psnr_u:46.42 psnr_v:47.27 
n:133 mse_avg:2.90 mse_y:3.78 mse_u:1.24 mse_v:1.01 psnr_avg:43.51 psnr_y:42.35 psnr_u:47.18 psnr_v:48.07 
n:134 mse_avg:3.40 mse_y:4.40 mse_u:1.54 mse_v:1.28 psnr_avg:42.82 psnr_y:41.70 psnr_u:46.26 psnr_v:47.07 
n:135 mse_avg:3.35 mse_y:4.41 mse_u:1.41 mse_v:1.08 psnr_avg:42.87 psnr_y:41.69 psnr_u:46.65 psnr_v:47.80 
n:136 mse_avg:3.33 mse_y:4.29 mse_u:1.58 mse_v:1.26 psnr_avg:42.90 psnr_y:41.81 psnr_u:46.14 psnr_v:47.14 
n:137 mse_avg:2.97 mse_y:3.89 mse_u:1.25 mse_v:1.04 psnr_avg:43.40 psnr_y:42.23 psnr_u:47.15 psnr_v:47.98 
n:138 mse_avg:3.32 mse_y:4.27 mse_u:1.62 mse_v:1.25 psnr_avg:42.91 psnr_y:41.83 psnr_u:46.04 psnr_v:47.15 
n:139 mse_avg:3.30 mse_y:4.35 mse_u:1.36 mse_v:1.07 psnr_avg:42.94 psnr_y:41.75 psnr_u:46.79 psnr_v:47.84 
n:140 mse_avg:3.43 mse_y:4.46 mse_u:1.53 mse_v:1.22 psnr_avg:42.78 psnr_y:41.64 psnr_u:46.29 psnr_v:47.27 
n:141 mse_avg:2.92 mse_y:3.82 mse_u:1.23 mse_v:0.99 psnr_avg:43.48 psnr_y:42.31 psnr_u:47.23 psnr_v:48.17 
n:142 mse_avg:3.20 mse_y:4.12 mse_u:1.52 mse_v:1.23 psnr_avg:43.07 psnr_y:41.98 psnr_u:46.32 psnr_v:47.22 
n:143 mse_avg:3.16 mse_y:4.14 mse_u:1.37 mse_v:1.08 psnr_avg:43.13 psnr_y:41.97 psnr_u:46.78 psnr_v:47.82 
n:144 mse_avg:3.25 mse_y:4.18 mse_u:1.54 mse_v:1.23 psnr_avg:43.01 psnr_y:41.92 psnr_u:46.26 psnr_v:47.23 
n:145 mse_avg:2.83 mse_y:3.69 mse_u:1.23 mse_v:1.01 psnr_avg:43.61 psnr_y:42.46 psnr_u:47.23 psnr_v:48.09 
n:146 mse_avg:3.20 mse_y:4.12 mse_u:1.53 mse_v:1.21 psnr_avg:43.07 psnr_y:41.98 psnr_u:46.28 psnr_v:47.30 
n:147 mse_avg:3.09 mse_y:4.03 mse_u:1.33 mse_v:1.09 psnr_avg:43.23 psnr_y:42.08 psnr_u:46.88 psnr_v:47.76 
n:148 mse_avg:3.20 mse_y:4.12 mse_u:1.51 mse_v:1.21 psnr_avg:43.08 psnr_y:41.98 psnr_u:46.33 psnr_v:47.32 
n:149 mse_avg:2.78 mse_y:3.61 mse_u:1.25 mse_v:1.00 psnr_avg:43.69 psnr_y:42.55 psnr_u:47.18 psnr_v:48.12 
n:150 mse_avg:3.29 mse_y:4.31 mse_u:1.41 mse_v:1.13 psnr_avg:42.95 psnr_y:41.79 psnr_u:46.63 psnr_v:47.61 
n:151 mse_avg:1.39 mse_y:1.72 mse_u:0.78 mse_v:0.67 psnr_avg:46.71 psnr_y:45.78 psnr_u:49.18 psnr_v:49.90 
n:152 mse_avg:2.81 mse_y:3.58 mse_u:1.42 mse_v:1.12 psnr_avg:43.64 psnr_y:42.59 psnr_u:46.62 psnr_v:47.63 
n:153 mse_avg:2.76 mse_y:3.57 mse_u:1.24 mse_v:1.00 psnr_avg:43.73 psnr_y:42.60 psnr_u:47.20 psnr_v:48.11 
n:154 mse_avg:2.94 mse_y:3.77 mse_u:1.44 mse_v:1.15 psnr_avg:43.44 psnr_y:42.37 psnr_u:46.54 psnr_v:47.51 
n:155 mse_avg:2.45 mse_y:3.16 mse_u:1.16 mse_v:0.92 psnr_avg:44.24 psnr_y:43.14 psnr_u:47.49 psnr_v:48.50 
n:156 mse_avg:3.10 mse_y:3.98 mse_u:1.50 mse_v:1.15 psnr_avg:43.22 psnr_y:42.13 psnr_u:46.38 psnr_v:47.52 
n:157 mse_avg:3.01 mse_y:3.93 mse_u:1.28 mse_v:1.04 psnr_avg:43.35 psnr_y:42.18 psnr_u:47.07 psnr_v:47.95 
n:158 mse_avg:3.24 mse_y:4.20 mse_u:1.49 mse_v:1.16 psnr_avg:43.02 psnr_y:41.90 psnr_u:46.40 psnr_v:47.49 
n:159 mse_avg:2.75 mse_y:3.57 mse_u:1.24 mse_v:0.98 psnr_avg:43.74 psnr_y:42.60 psnr_u:47.21 psnr_v:48.22 
n:160 mse_avg:3.30 mse_y:4.26 mse_u:1.57 mse_v:1.21 psnr_avg:42.94 psnr_y:41.84 psnr_u:46.16 psnr_v:47.31 
n:161 mse_avg:3.20 mse_y:4.20 mse_u:1.36 mse_v:1.05 psnr_avg:43.08 psnr_y:41.90 psnr_u:46.81 psnr_v:47.91 
n:162 mse_avg:3.26 mse_y:4.21 mse_u:1.53 mse_v:1.17 psnr_avg:43.00 psnr_y:41.89 psnr_u:46.27 psnr_v:47.44 
n:163 mse_avg:2.88 mse_y:3.76 mse_u:1.24 mse_v:0.99 psnr_avg:43.54 psnr_y:42.38 psnr_u:47.19 psnr_v:48.18 
n:164 mse_avg:3.26 mse_y:4.20 mse_u:1.62 mse_v:1.14 psnr_avg:43.00 psnr_y:41.90 psnr_u:46.03 psnr_v:47.55 
n:165 mse_avg:3.24 mse_y:4.27 mse_u:1.34 mse_v:1.05 psnr_avg:43.02 psnr_y:41.83 psnr_u:46.86 psnr_v:47.90 
n:166 mse_avg:3.34 mse_y:4.34 mse_u:1.57 mse_v:1.12 psnr_avg:42.89 psnr_y:41.76 psnr_u:46.17 psnr_v:47.64 
n:167 mse_avg:2.93 mse_y:3.85 mse_u:1.25 mse_v:0.97 psnr_avg:43.46 psnr_y:42.28 psnr_u:47.16 psnr_v:48.25 
