n:1 mse_avg:5.64 mse_y:6.59 mse_u:4.20 mse_v:3.27 psnr_avg:40.62 psnr_y:39.94 psnr_u:41.90 psnr_v:42.99 
n:42 mse_avg:3.49 mse_y:4.21 mse_u:2.37 mse_v:1.74 psnr_avg:42.70 psnr_y:41.89 psnr_u:44.38 psnr_v:45.73 
n:43 mse_avg:3.40 mse_y:4.09 mse_u:2.31 mse_v:1.70 psnr_avg:42.82 psnr_y:42.01 psnr_u:44.50 psnr_v:45.82 
n:44 mse_avg:3.36 mse_y:4.02 mse_u:2.33 mse_v:1.72 psnr_avg:42.87 psnr_y:42.08 psnr_u:44.46 psnr_v:45.77 
n:45 mse_avg:3.56 mse_y:4.31 mse_u:2.38 mse_v:1.73 psnr_avg:42.62 psnr_y:41.79 psnr_u:44.36 psnr_v:45.76 
n:46 mse_avg:2.67 mse_y:3.09 mse_u:2.07 mse_v:1.55 psnr_avg:43.87 psnr_y:43.23 psnr_u:44.97 psnr_v:46.22 
n:47 mse_avg:3.57 mse_y:4.30 mse_u:2.44 mse_v:1.77 psnr_avg:42.60 psnr_y:41.79 psnr_u:44.26 psnr_v:45.66 
n:48 mse_avg:3.42 mse_y:4.09 mse_u:2.38 mse_v:1.76 psnr_avg:42.79 psnr_y:42.01 psnr_u:44.36 psnr_v:45.68 
n:49 mse_avg:3.45 mse_y:4.14 mse_u:2.40 mse_v:1.77 psnr_avg:42.75 psnr_y:41.96 psnr_u:44.32 psnr_v:45.66 
n:50 mse_avg:3.58 mse_y:4.36 mse_u:2.39 mse_v:1.68 psnr_avg:42.59 psnr_y:41.74 psnr_u:44.34 psnr_v:45.87 
n:51 mse_avg:2.69 mse_y:3.16 mse_u:2.02 mse_v:1.51 psnr_avg:43.83 psnr_y:43.13 psnr_u:45.09 psnr_v:46.35 
n:52 mse_avg:3.31 mse_y:4.02 mse_u:2.18 mse_v:1.61 psnr_avg:42.93 psnr_y:42.09 psnr_u:44.74 psnr_v:46.07 
n:53 mse_avg:3.21 mse_y:3.87 mse_u:2.19 mse_v:1.56 psnr_avg:43.07 psnr_y:42.25 psnr_u:44.73 psnr_v:46.20 
n:54 mse_avg:3.22 mse_y:3.89 mse_u:2.19 mse_v:1.55 psnr_avg:43.06 psnr_y:42.23 psnr_u:44.72 psnr_v:46.22 
n:55 mse_avg:3.40 mse_y:4.14 mse_u:2.22 mse_v:1.65 psnr_avg:42.81 psnr_y:41.96 psnr_u:44.67 psnr_v:45.97 
n:56 mse_avg:2.79 mse_y:3.30 mse_u:2.02 mse_v:1.51 psnr_avg:43.68 psnr_y:42.95 psnr_u:45.07 psnr_v:46.33 
n:57 mse_avg:3.03 mse_y:3.67 mse_u:2.00 mse_v:1.51 psnr_avg:43.31 psnr_y:42.49 psnr_u:45.11 psnr_v:46.33 
n:58 mse_avg:2.81 mse_y:3.41 mse_u:1.84 mse_v:1.37 psnr_avg:43.65 psnr_y:42.81 psnr_u:45.49 psnr_v:46.75 
n:59 mse_avg:2.77 mse_y:3.36 mse_u:1.83 mse_v:1.35 psnr_avg:43.71 psnr_y:42.87 psnr_u:45.51 psnr_v:46.82 
n:60 mse_avg:2.80 mse_y:3.39 mse_u:1.84 mse_v:1.37 psnr_avg:43.66 psnr_y:42.82 psnr_u:45.48 psnr_v:46.75 
n:61 mse_avg:1.77 mse_y:1.99 mse_u:1.50 mse_v:1.17 psnr_avg:45.64 psnr_y:45.13 psnr_u:46.37 psnr_v:47.46 
n:62 mse_avg:2.87 mse_y:3.50 mse_u:1.82 mse_v:1.37 psnr_avg:43.56 psnr_y:42.69 psnr_u:45.53 psnr_v:46.76 
n:63 mse_avg:2.42 mse_y:2.88 mse_u:1.71 mse_v:1.30 psnr_avg:44.29 psnr_y:43.54 psnr_u:45.80 psnr_v:46.98 
n:64 mse_avg:2.15 mse_y:2.49 mse_u:1.68 mse_v:1.29 psnr_avg:44.80 psnr_y:44.17 psnr_u:45.89 psnr_v:47.04 
n:65 mse_avg:3.14 mse_y:3.88 mse_u:1.94 mse_v:1.42 psnr_avg:43.16 psnr_y:42.25 psnr_u:45.26 psnr_v:46.61 
n:66 mse_avg:3.23 mse_y:4.02 mse_u:1.89 mse_v:1.42 psnr_avg:43.04 psnr_y:42.09 psnr_u:45.37 psnr_v:46.62 
n:67 mse_avg:2.98 mse_y:3.65 mse_u:1.87 mse_v:1.39 psnr_avg:43.39 psnr_y:42.51 psnr_u:45.42 psnr_v:46.69 
n:68 mse_avg:2.47 mse_y:2.96 mse_u:1.70 mse_v:1.26 psnr_avg:44.21 psnr_y:43.42 psnr_u:45.82 psnr_v:47.12 
n:69 mse_avg:2.20 mse_y:2.57 mse_u:1.68 mse_v:1.25 psnr_avg:44.70 psnr_y:44.03 psnr_u:45.89 psnr_v:47.15 
n:70 mse_avg:2.94 mse_y:3.60 mse_u:1.86 mse_v:1.39 psnr_avg:43.44 psnr_y:42.57 psnr_u:45.43 psnr_v:46.69 
n:71 mse_avg:2.70 mse_y:3.26 mse_u:1.80 mse_v:1.39 psnr_avg:43.81 psnr_y:43.00 psnr_u:45.58 psnr_v:46.71 
n:72 mse_avg:2.98 mse_y:3.66 mse_u:1.85 mse_v:1.39 psnr_avg:43.39 psnr_y:42.50 psnr_u:45.45 psnr_v:46.69 
n:73 mse_avg:2.09 mse_y:2.42 mse_u:1.62 mse_v:1.22 psnr_avg:44.94 psnr_y:44.30 psnr_u:46.03 psnr_v:47.27 
n:74 mse_avg:2.42 mse_y:2.91 mse_u:1.63 mse_v:1.25 psnr_avg:44.29 psnr_y:43.49 psnr_u:46.00 psnr_v:47.16 
n:75 mse_avg:2.18 mse_y:2.54 mse_u:1.67 mse_v:1.25 psnr_avg:44.74 psnr_y:44.08 psnr_u:45.90 psnr_v:47.15 
n:76 mse_avg:3.22 mse_y:3.99 mse_u:1.94 mse_v:1.44 psnr_avg:43.05 psnr_y:42.12 psnr_u:45.26 psnr_v:46.54 
n:77 mse_avg:2.99 mse_y:3.64 mse_u:1.95 mse_v:1.41 psnr_avg:43.38 psnr_y:42.52 psnr_u:45.23 psnr_v:46.62 
n:78 mse_avg:2.76 mse_y:3.37 mse_u:1.76 mse_v:1.35 psnr_avg:43.72 psnr_y:42.86 psnr_u:45.68 psnr_v:46.81 
n:79 mse_avg:2.31 mse_y:2.70 mse_u:1.71 mse_v:1.33 psnr_avg:44.50 psnr_y:43.82 psnr_u:45.80 psnr_v:46.90 
n:80 mse_avg:3.34 mse_y:4.15 mse_u:1.95 mse_v:1.46 psnr_avg:42.90 psnr_y:41.95 psnr_u:45.22 psnr_v:46.50 
n:81 mse_avg:3.16 mse_y:3.90 mse_u:1.96 mse_v:1.44 psnr_avg:43.13 psnr_y:42.22 psnr_u:45.21 psnr_v:46.56 
n:82 mse_avg:3.38 mse_y:4.16 mse_u:2.08 mse_v:1.53 psnr_avg:42.85 psnr_y:41.94 psnr_u:44.96 psnr_v:46.29 
n:83 mse_avg:2.38 mse_y:2.81 mse_u:1.74 mse_v:1.34 psnr_avg:44.36 psnr_y:43.65 psnr_u:45.73 psnr_v:46.86 
n:84 mse_avg:2.91 mse_y:3.58 mse_u:1.79 mse_v:1.38 psnr_avg:43.49 psnr_y:42.59 psnr_u:45.60 psnr_v:46.73 
n:85 mse_avg:3.11 mse_y:3.80 mse_u:1.97 mse_v:1.49 psnr_avg:43.20 psnr_y:42.33 psnr_u:45.19 psnr_v:46.39 
n:86 mse_avg:3.57 mse_y:4.44 mse_u:2.06 mse_v:1.57 psnr_avg:42.61 psnr_y:41.65 psnr_u:44.99 psnr_v:46.18 
n:87 mse_avg:2.75 mse_y:3.28 mse_u:1.93 mse_v:1.47 psnr_avg:43.73 psnr_y:42.97 psnr_u:45.28 psnr_v:46.46 
n:88 mse_avg:3.21 mse_y:3.97 mse_u:1.90 mse_v:1.49 psnr_avg:43.06 psnr_y:42.14 psnr_u:45.34 psnr_v:46.39 
n:89 mse_avg:2.96 mse_y:3.61 mse_u:1.87 mse_v:1.44 psnr_avg:43.42 psnr_y:42.56 psnr_u:45.41 psnr_v:46.54 
n:90 mse_avg:3.79 mse_y:4.70 mse_u:2.35 mse_v:1.62 psnr_avg:42.34 psnr_y:41.41 psnr_u:44.41 psnr_v:46.03 
n:91 mse_avg:1.45 mse_y:1.65 mse_u:1.14 mse_v:0.97 psnr_avg:46.52 psnr_y:45.96 psnr_u:47.56 psnr_v:48.26 
n:92 mse_avg:3.40 mse_y:4.48 mse_u:1.35 mse_v:1.18 psnr_avg:42.81 psnr_y:41.62 psnr_u:46.84 psnr_v:47.41 
n:93 mse_avg:2.75 mse_y:3.48 mse_u:1.37 mse_v:1.20 psnr_avg:43.74 psnr_y:42.71 psnr_u:46.77 psnr_v:47.33 
n:94 mse_avg:3.03 mse_y:3.90 mse_u:1.37 mse_v:1.23 psnr_avg:43.31 psnr_y:42.22 psnr_u:46.76 psnr_v:47.25 
n:95 mse_avg:2.24 mse_y:2.71 mse_u:1.37 mse_v:1.21 psnr_avg:44.63 psnr_y:43.80 psnr_u:46.76 psnr_v:47.31 
n:96 mse_avg:3.56 mse_y:4.66 mse_u:1.44 mse_v:1.28 psnr_avg:42.62 psnr_y:41.45 psnr_u:46.55 psnr_v:47.06 
n:97 mse_avg:3.04 mse_y:3.88 mse_u:1.44 mse_v:1.27 psnr_avg:43.30 psnr_y:42.24 psnr_u:46.54 psnr_v:47.11 
n:98 mse_avg:2.81 mse_y:3.56 mse_u:1.39 mse_v:1.21 psnr_avg:43.65 psnr_y:42.61 psnr_u:46.70 psnr_v:47.32 
n:99 mse_avg:2.27 mse_y:2.77 mse_u:1.38 mse_v:1.20 psnr_avg:44.56 psnr_y:43.71 psnr_u:46.74 psnr_v:47.33 
n:100 mse_avg:3.23 mse_y:4.17 mse_u:1.42 mse_v:1.27 psnr_avg:43.04 psnr_y:41.93 psnr_u:46.62 psnr_v:47.10 
n:101 mse_avg:3.02 mse_y:3.87 mse_u:1.40 mse_v:1.27 psnr_avg:43.33 psnr_y:42.26 psnr_u:46.68 psnr_v:47.09 
n:102 mse_avg:2.05 mse_y:2.45 mse_u:1.35 mse_v:1.15 psnr_avg:45.02 psnr_y:44.24 psnr_u:46.82 psnr_v:47.53 
n:103 mse_avg:2.70 mse_y:3.40 mse_u:1.39 mse_v:1.19 psnr_avg:43.82 psnr_y:42.81 psnr_u:46.71 psnr_v:47.37 
n:104 mse_avg:2.63 mse_y:3.30 mse_u:1.38 mse_v:1.20 psnr_avg:43.93 psnr_y:42.95 psnr_u:46.74 psnr_v:47.35 
n:105 mse_avg:2.99 mse_y:3.78 mse_u:1.48 mse_v:1.32 psnr_avg:43.38 psnr_y:42.36 psnr_u:46.42 psnr_v:46.93 
n:106 mse_avg:2.17 mse_y:2.60 mse_u:1.41 mse_v:1.23 psnr_avg:44.76 psnr_y:43.98 psnr_u:46.64 psnr_v:47.22 
n:107 mse_avg:3.37 mse_y:4.34 mse_u:1.52 mse_v:1.33 psnr_avg:42.86 psnr_y:41.75 psnr_u:46.33 psnr_v:46.89 
n:108 mse_avg:3.36 mse_y:4.31 mse_u:1.55 mse_v:1.40 psnr_avg:42.86 psnr_y:41.79 psnr_u:46.24 psnr_v:46.68 
n:109 mse_avg:3.29 mse_y:4.20 mse_u:1.54 mse_v:1.39 psnr_avg:42.96 psnr_y:41.90 psnr_u:46.25 psnr_v:46.70 
n:110 mse_avg:3.30 mse_y:4.23 mse_u:1.50 mse_v:1.39 psnr_avg:42.94 psnr_y:41.87 psnr_u:46.36 psnr_v:46.70 
n:111 mse_avg:2.28 mse_y:2.76 mse_u:1.42 mse_v:1.22 psnr_avg:44.56 psnr_y:43.73 psnr_u:46.62 psnr_v:47.25 
n:112 mse_avg:3.21 mse_y:4.10 mse_u:1.48 mse_v:1.37 psnr_avg:43.07 psnr_y:42.00 psnr_u:46.42 psnr_v:46.78 
n:113 mse_avg:3.14 mse_y:3.99 mse_u:1.52 mse_v:1.40 psnr_avg:43.16 psnr_y:42.12 psnr_u:46.31 psnr_v:46.68 
n:114 mse_avg:3.26 mse_y:4.15 mse_u:1.53 mse_v:1.41 psnr_avg:43.00 psnr_y:41.95 psnr_u:46.29 psnr_v:46.64 
n:115 mse_avg:3.40 mse_y:4.37 mse_u:1.50 mse_v:1.40 psnr_avg:42.82 psnr_y:41.72 psnr_u:46.37 psnr_v:46.66 
n:116 mse_avg:2.58 mse_y:3.20 mse_u:1.41 mse_v:1.26 psnr_avg:44.02 psnr_y:43.08 psnr_u:46.65 psnr_v:47.12 
n:117 mse_avg:3.19 mse_y:4.13 mse_u:1.33 mse_v:1.27 psnr_avg:43.10 psnr_y:41.97 psnr_u:46.88 psnr_v:47.08 
n:118 mse_avg:2.73 mse_y:3.47 mse_u:1.22 mse_v:1.26 psnr_avg:43.77 psnr_y:42.72 psnr_u:47.25 psnr_v:47.13 
n:119 mse_avg:2.67 mse_y:3.39 mse_u:1.25 mse_v:1.24 psnr_avg:43.86 psnr_y:42.83 psnr_u:47.18 psnr_v:47.18 
n:120 mse_avg:2.76 mse_y:3.57 mse_u:1.19 mse_v:1.12 psnr_avg:43.72 psnr_y:42.61 psnr_u:47.36 psnr_v:47.65 
n:121 mse_avg:1.40 mse_y:1.58 mse_u:1.11 mse_v:0.93 psnr_avg:46.68 psnr_y:46.13 psnr_u:47.69 psnr_v:48.44 
n:122 mse_avg:2.79 mse_y:3.57 mse_u:1.30 mse_v:1.16 psnr_avg:43.67 psnr_y:42.60 psnr_u:46.99 psnr_v:47.48 
n:123 mse_avg:2.74 mse_y:3.47 mse_u:1.34 mse_v:1.21 psnr_avg:43.75 psnr_y:42.72 psnr_u:46.86 psnr_v:47.29 
n:124 mse_avg:2.69 mse_y:3.41 mse_u:1.32 mse_v:1.20 psnr_avg:43.83 psnr_y:42.80 psnr_u:46.92 psnr_v:47.32 
n:125 mse_avg:2.83 mse_y:3.63 mse_u:1.31 mse_v:1.15 psnr_avg:43.62 psnr_y:42.54 psnr_u:46.95 psnr_v:47.53 
n:126 mse_avg:2.11 mse_y:2.57 mse_u:1.29 mse_v:1.10 psnr_avg:44.89 psnr_y:44.04 psnr_u:47.04 psnr_v:47.71 
n:127 mse_avg:2.92 mse_y:3.75 mse_u:1.36 mse_v:1.19 psnr_avg:43.47 psnr_y:42.39 psnr_u:46.81 psnr_v:47.37 
n:128 mse_avg:2.92 mse_y:3.74 mse_u:1.33 mse_v:1.24 psnr_avg:43.48 psnr_y:42.40 psnr_u:46.89 psnr_v:47.20 
n:129 mse_avg:2.94 mse_y:3.77 mse_u:1.33 mse_v:1.23 psnr_avg:43.45 psnr_y:42.37 psnr_u:46.91 psnr_v:47.25 
n:130 mse_avg:3.11 mse_y:4.02 mse_u:1.34 mse_v:1.25 psnr_avg:43.20 psnr_y:42.09 psnr_u:46.85 psnr_v:47.17 
n:131 mse_avg:2.20 mse_y:2.68 mse_u:1.31 mse_v:1.16 psnr_avg:44.71 psnr_y:43.84 psnr_u:46.96 psnr_v:47.50 
n:132 mse_avg:3.61 mse_y:4.73 mse_u:1.39 mse_v:1.31 psnr_avg:42.56 psnr_y:41.38 psnr_u:46.69 psnr_v:46.96 
n:133 mse_avg:3.52 mse_y:4.59 mse_u:1.42 mse_v:1.34 psnr_avg:42.66 psnr_y:41.51 psnr_u:46.61 psnr_v:46.87 
n:134 mse_avg:3.33 mse_y:4.31 mse_u:1.43 mse_v:1.35 psnr_avg:42.90 psnr_y:41.79 psnr_u:46.57 psnr_v:46.84 
n:135 mse_avg:3.22 mse_y:4.15 mse_u:1.40 mse_v:1.30 psnr_avg:43.05 psnr_y:41.95 psnr_u:46.66 psnr_v:46.99 
n:136 mse_avg:2.15 mse_y:2.60 mse_u:1.33 mse_v:1.16 psnr_avg:44.81 psnr_y:43.97 psnr_u:46.90 psnr_v:47.50 
n:137 mse_avg:3.22 mse_y:4.18 mse_u:1.41 mse_v:1.23 psnr_avg:43.05 psnr_y:41.92 psnr_u:46.65 psnr_v:47.23 
n:138 mse_avg:3.28 mse_y:4.24 mse_u:1.41 mse_v:1.29 psnr_avg:42.98 psnr_y:41.86 psnr_u:46.63 psnr_v:47.03 
n:139 mse_avg:3.22 mse_y:4.15 mse_u:1.42 mse_v:1.29 psnr_avg:43.05 psnr_y:41.95 psnr_u:46.62 psnr_v:47.02 
n:140 mse_avg:3.19 mse_y:4.11 mse_u:1.46 mse_v:1.27 psnr_avg:43.09 psnr_y:41.99 psnr_u:46.49 psnr_v:47.09 
n:141 mse_avg:2.30 mse_y:2.80 mse_u:1.39 mse_v:1.20 psnr_avg:44.51 psnr_y:43.65 psnr_u:46.69 psnr_v:47.32 
n:142 mse_avg:3.29 mse_y:4.21 mse_u:1.52 mse_v:1.37 psnr_avg:42.96 psnr_y:41.89 psnr_u:46.30 psnr_v:46.77 
n:143 mse_avg:3.33 mse_y:4.28 mse_u:1.50 mse_v:1.35 psnr_avg:42.91 psnr_y:41.82 psnr_u:46.36 psnr_v:46.84 
n:144 mse_avg:3.17 mse_y:4.05 mse_u:1.50 mse_v:1.34 psnr_avg:43.12 psnr_y:42.06 psnr_u:46.37 psnr_v:46.87 
n:145 mse_avg:3.15 mse_y:4.02 mse_u:1.49 mse_v:1.32 psnr_avg:43.15 psnr_y:42.09 psnr_u:46.39 psnr_v:46.92 
n:146 mse_avg:2.52 mse_y:3.11 mse_u:1.42 mse_v:1.24 psnr_avg:44.12 psnr_y:43.20 psnr_u:46.60 psnr_v:47.20 
n:147 mse_avg:2.92 mse_y:3.68 mse_u:1.41 mse_v:1.34 psnr_avg:43.48 psnr_y:42.47 psnr_u:46.65 psnr_v:46.84 
n:148 mse_avg:2.71 mse_y:3.37 mse_u:1.41 mse_v:1.34 psnr_avg:43.81 psnr_y:42.85 psnr_u:46.63 psnr_v:46.87 
n:149 mse_avg:2.85 mse_y:3.58 mse_u:1.41 mse_v:1.34 psnr_avg:43.59 psnr_y:42.59 psnr_u:46.65 psnr_v:46.85 
n:150 mse_avg:2.80 mse_y:3.50 mse_u:1.45 mse_v:1.39 psnr_avg:43.65 psnr_y:42.70 psnr_u:46.53 psnr_v:46.70 
n:151 mse_avg:1.42 mse_y:1.54 mse_u:1.31 mse_v:1.01 psnr_avg:46.62 psnr_y:46.25 psnr_u:46.97 psnr_v:48.07 
n:152 mse_avg:2.43 mse_y:2.88 mse_u:1.76 mse_v:1.32 psnr_avg:44.27 psnr_y:43.53 psnr_u:45.68 psnr_v:46.94 
n:153 mse_avg:2.63 mse_y:3.15 mse_u:1.85 mse_v:1.31 psnr_avg:43.94 psnr_y:43.15 psnr_u:45.45 psnr_v:46.96 
n:154 mse_avg:2.78 mse_y:3.36 mse_u:1.87 mse_v:1.34 psnr_avg:43.69 psnr_y:42.86 psnr_u:45.40 psnr_v:46.87 
n:155 mse_avg:2.79 mse_y:3.42 mse_u:1.77 mse_v:1.28 psnr_avg:43.68 psnr_y:42.80 psnr_u:45.64 psnr_v:47.06 
n:156 mse_avg:2.09 mse_y:2.43 mse_u:1.60 mse_v:1.20 psnr_avg:44.93 psnr_y:44.27 psnr_u:46.08 psnr_v:47.36 
n:157 mse_avg:2.76 mse_y:3.38 mse_u:1.74 mse_v:1.29 psnr_avg:43.72 psnr_y:42.84 psnr_u:45.71 psnr_v:47.03 
n:158 mse_avg:2.73 mse_y:3.32 mse_u:1.79 mse_v:1.31 psnr_avg:43.77 psnr_y:42.92 psnr_u:45.60 psnr_v:46.96 
n:159 mse_avg:2.73 mse_y:3.32 mse_u:1.81 mse_v:1.30 psnr_avg:43.76 psnr_y:42.92 psnr_u:45.56 psnr_v:46.99 
n:160 mse_avg:2.92 mse_y:3.60 mse_u:1.84 mse_v:1.29 psnr_avg:43.48 psnr_y:42.57 psnr_u:45.48 psnr_v:47.03 
n:161 mse_avg:2.06 mse_y:2.40 mse_u:1.57 mse_v:1.17 psnr_avg:45.00 psnr_y:44.33 psnr_u:46.17 psnr_v:47.43 
n:162 mse_avg:2.83 mse_y:3.46 mse_u:1.83 mse_v:1.30 psnr_avg:43.61 psnr_y:42.74 psnr_u:45.50 psnr_v:47.00 
n:163 mse_avg:2.79 mse_y:3.38 mse_u:1.85 mse_v:1.36 psnr_avg:43.68 psnr_y:42.84 psnr_u:45.46 psnr_v:46.79 
n:164 mse_avg:2.78 mse_y:3.36 mse_u:1.87 mse_v:1.35 psnr_avg:43.69 psnr_y:42.87 psnr_u:45.41 psnr_v:46.82 
n:165 mse_avg:2.82 mse_y:3.44 mse_u:1.86 mse_v:1.34 psnr_avg:43.62 psnr_y:42.77 psnr_u:45.44 psnr_v:46.86 
n:166 mse_avg:2.07 mse_y:2.42 mse_u:1.59 mse_v:1.18 psnr_avg:44.96 psnr_y:44.29 psnr_u:46.12 psnr_v:47.42 
n:167 mse_avg:2.85 mse_y:3.49 mse_u:1.83 mse_v:1.29 psnr_avg:43.59 psnr_y:42.70 psnr_u:45.51 psnr_v:47.01 
